1000
412,353,198
605,406,641
725,476,302
334,717,258
664,865,12
958,415,577
786,331,251
806,526,668
244,894,477
933,598,612
659,167,299
955,35,406
900,716,110
129,778,533
34,353,983
333,301,97
247,252,235
833,800,103
783,969,383
446,553,135
266,135,672
236,130,994
773,822,382
912,369,305
854,241,910
958,867,821
95,426,309
378,357,694
740,282,7
52,515,883
221,656,575
718,906,661
875,892,481
785,369,856
822,356,103
611,871,578
245,93,984
783,812,137
630,888,442
924,947,174
828,297,516
721,292,652
901,567,579
365,718,700
150,898,419
497,115,778
582,125,486
614,182,712
626,212,267
799,582,619
431,720,510
629,754,50
556,875,179
210,335,152
829,632,663
998,448,651
278,905,950
409,82,749
54,623,877
145,137,29
643,482,694
672,161,336
279,981,201
794,385,751
512,0,502
736,627,864
490,539,822
477,497,887
600,218,876
191,794,943
945,462,673
912,965,325
457,316,443
840,321,365
686,291,224
891,567,949
920,339,626
18,95,842
969,660,865
791,866,7
809,935,658
566,288,604
296,250,57
69,852,564
88,413,416
143,59,526
47,916,211
38,903,679
108,12,203
720,410,243
448,489,906
877,184,963
930,815,649
513,769,124
853,575,818
210,969,362
47,58,464
181,836,239
31,679,318
696,240,449
166,551,773
28,217,311
293,227,365
877,228,137
956,701,272
899,289,300
948,527,885
68,384,619
934,16,351
837,661,606
689,360,402
344,494,393
875,170,800
953,445,956
59,822,201
635,404,540
310,574,558
763,414,803
226,120,821
630,35,974
843,991,342
102,919,606
779,387,109
634,989,61
110,66,826
909,217,540
255,102,538
596,251,26
341,654,308
525,624,166
549,506,874
438,39,703
494,624,591
749,594,236
288,359,643
333,955,595
7,234,27
660,542,175
627,625,208
887,151,810
157,420,360
278,854,912
780,67,571
188,199,306
51,220,201
350,173,510
943,400,275
403,859,882
124,196,571
6,625,33
520,56,37
894,662,8
49,91,719
203,43,955
378,92,149
478,293,435
731,944,882
92,523,818
404,887,688
654,776,733
82,786,455
153,899,741
895,976,706
638,808,244
586,312,428
322,755,547
510,769,535
602,604,798
26,135,447
48,155,779
984,937,39
852,602,111
763,119,670
344,747,92
349,792,821
94,972,686
53,190,952
378,119,134
348,174,721
698,695,509
149,74,647
872,580,583
324,300,149
575,974,434
94,240,723
884,554,20
726,69,692
465,1,835
857,659,584
842,465,786
411,175,95
37,530,634
74,791,789
930,474,950
186,340,14
353,421,432
848,468,11
143,566,891
533,830,60
788,180,936
75,65,815
518,367,935
176,247,403
555,659,430
445,580,410
211,671,800
44,423,719
502,408,465
666,867,230
186,990,452
374,8,506
822,701,396
611,446,179
390,443,266
23,75,694
762,70,791
913,908,548
356,89,141
659,829,189
353,133,105
121,985,988
187,262,456
311,122,324
557,719,370
801,933,581
871,666,453
751,200,319
83,743,935
984,874,824
863,894,796
458,675,651
461,892,597
70,217,459
780,677,707
333,346,791
735,78,680
755,236,287
977,493,169
38,14,988
440,679,875
709,306,654
628,271,721
11,797,197
900,791,589
185,951,802
667,822,993
603,697,522
106,360,608
62,441,788
937,841,373
956,585,85
710,343,167
964,840,768
619,565,954
733,53,774
169,271,105
364,466,609
201,14,815
828,197,579
802,234,876
613,332,325
606,99,717
98,294,320
563,930,441
62,377,406
713,648,779
309,936,856
491,413,840
408,49,879
203,568,314
805,256,353
408,929,344
10,677,580
880,693,614
694,563,736
484,152,689
515,546,718
123,671,342
612,190,357
553,75,266
274,256,371
381,481,288
293,462,350
561,636,194
587,846,56
604,931,521
419,648,14
239,20,998
858,266,56
215,676,528
323,273,953
995,416,114
266,142,618
578,948,622
279,555,491
206,717,666
531,286,582
135,361,908
179,736,194
412,484,906
800,221,410
147,737,230
471,825,95
531,126,364
607,951,945
598,964,953
250,756,444
2,8,144
245,411,579
97,489,15
403,170,494
768,794,894
744,488,818
589,994,556
665,906,31
289,994,784
966,118,506
452,343,438
373,945,971
194,241,396
137,836,218
964,808,277
637,898,451
874,422,639
397,265,552
310,2,86
468,166,440
